probe_id	log2FC_M	AveExpr	t	P.Value	adjP	B	chr	pos	strand	UCSC_RefGene_Name	Relation_to_Island	beta_tumor	beta_normal	delta_beta	sig
cg15952487	-2.7297546139867666	-2.1914485819403366	-6.376576787347776	1.5795173129161296e-5	0.012462033677911231	3.2295518757659893	chr1	158300733	-	CD1B	OpenSea	0.11406143462019126	0.44875228404578105	-0.3346908494255898	Hypomethylated
cg06747888	-2.3613015107164013	-3.3673142000324634	-6.304584345182049	1.7845030846163768e-5	0.012462033677911231	3.1207668701276967	chr2	162271859	+	TBR1	N_Shore	0.05644245070660292	0.24432841818658999	-0.18788596747998706	NS
cg03014957	-2.603388224777107	-0.7500761137888784	-6.300775898838198	1.796095056066366e-5	0.012462033677911231	3.114988100109122	chr20	29956062	+	DEFB118	OpenSea	0.26075932153351034	0.6653192172698635	-0.4045598957363532	Hypomethylated
cg08077345	2.773536283292421	1.5305934398928036	6.288248974156737	1.8347836860158877e-5	0.012462033677911231	3.0959632979058123	chr19	49372273	-	PLEKHA4;PLEKHA4	N_Shelf	0.8323283425459068	0.4362339945622937	0.3960943479836131	Hypermethylated
cg03874199	3.7062888623560677	-0.6527871683037706	6.283195078345347	1.8506386195508084e-5	0.012462033677911231	3.088280502223337	chr2	176964456	-	HOXD12	Island	0.5735500891090523	0.10861491981093954	0.46493516929811274	Hypermethylated
cg10318258	-3.1047625129948275	0.9146409944957062	-6.273705425624116	1.8807983071812856e-5	0.012462033677911231	3.0738431274632	chr14	24809759	-	RIPK3	S_Shore	0.4881174943526961	0.8920140486358763	-0.4038965542831802	Hypomethylated
cg09837977	3.1763808186362126	1.2488220979451439	6.263629187806255	1.913386533752758e-5	0.012462033677911231	3.0584969612738826	chr7	110731201	-	LRRN3;LRRN3;IMMP2L;LRRN3;LRRN3;LRRN3;LRRN3	OpenSea	0.8100831082272043	0.34740029285401397	0.46268281537319034	Hypermethylated
cg09643186	2.377938705452882	3.370098972737432	6.192942371198527	2.159290035949179e-5	0.01354274721065311	2.9503665354861193	chr14	65409452	+	GPX2;GPX2	OpenSea	0.9415628393035437	0.7623996754220843	0.17916316388145936	NS
cg15791248	2.6813856915514838	1.2810909821371108	6.145967743993437	2.340837291064731e-5	0.0141570495310322	2.878050178283705	chr8	38326730	+	FGFR1;FGFR1;FGFR1;FGFR1;FGFR1;FGFR1;FGFR1	S_Shore	0.7996179544169674	0.40245408164082197	0.3971638727761454	Hypermethylated
cg12953249	2.107294963081139	3.3131142554375344	6.114085856718502	2.4731038991030667e-5	0.014441221181865976	2.8287602274653603	chr9	126118772	-	CRB2	OpenSea	0.9369532378758897	0.7812464740827403	0.1557067637931494	NS
cg25691167	5.8006050388021615	-0.8265224622881387	6.037279705182792	2.8248863643396024e-5	0.015647214999000694	2.7093249546737885	chr7	19184961	+	FERD3L	Island	0.6058679650738201	0.044298959269464325	0.5615690058043558	Hypermethylated
cg23282559	3.196048176882469	-0.3402854203769966	6.01418105401936	2.940632022713839e-5	0.015647214999000694	2.6732150692356784	chr13	33591130	+	KL	Island	0.6032834883691605	0.16789209275473616	0.4353913956144243	Hypermethylated
cg27378216	2.6863596381563353	2.715067529251611	6.005018291742108	2.987910209126773e-5	0.015647214999000694	2.658866581724589	chr18	42281171	-	SETBP1;SETBP1	OpenSea	0.9133730067325401	0.6394284514076762	0.27394455532486384	Hypermethylated
cg27120999	3.1148820343103294	0.9171996204679974	5.993355817495057	3.0492387797745537e-5	0.015647214999000694	2.640583588117665	chr14	65008050	+	HSPA2	Island	0.7759414230075654	0.31839660976650475	0.45754481324106067	Hypermethylated
cg10221736	2.803615452447988	2.217073293175217	5.9539193119769385	3.266554286025373e-5	0.01626936184692755	2.578593520353267	chr19	4818359	-	TICAM1	OpenSea	0.8854277360626139	0.5460807237121057	0.33934701235050824	Hypermethylated
cg00718513	-2.361508760377418	-1.239056483042519	-5.908104302369828	3.5394963862096725e-5	0.016920040505147355	2.5062551037001812	chr2	89215272	-		OpenSea	0.21276328938817077	0.5674541233618735	-0.3546908339737027	Hypomethylated
cg10430690	2.4711949432739906	3.433344090908151	5.898918450766388	3.59703235021439e-5	0.016920040505147355	2.4917097497148566	chr3	123813596	-	KALRN;KALRN;KALRN;KALRN;KALRN	OpenSea	0.9421683701765181	0.7645678129783817	0.1776005571981364	NS
cg05221167	4.988794675581268	-0.7694055020746667	5.8224793695967865	4.115421329612101e-5	0.01858664353107097	2.3701345549940624	chr19	9609397	-	ZNF560	S_Shore	0.6077984411997222	0.09859314786859427	0.5092052933311279	Hypermethylated
cg26186727	3.2557461934188217	-0.2861558446060904	5.802408052377719	4.2640800501004945e-5	0.01858664353107097	2.3380526517749045	chr18	70534534	+	NETO1;NETO1	Island	0.6038380175544034	0.152734045267779	0.45110397228662436	Hypermethylated
cg11172423	2.2694365995462475	2.2415598894840563	5.800221045724202	4.2806135450086677e-5	0.01858664353107097	2.3345529682761645	chr1	43205623	-	CLDN19;CLDN19	S_Shore	0.878540202483411	0.6117751076510984	0.2667650948323126	Hypermethylated
cg04598121	3.0336150537183233	-0.15349695177131276	5.759659108375586	4.599694085546136e-5	0.019472804911159568	2.2695034642143233	chr8	57358505	-	PENK;PENK	Island	0.625010483666853	0.19465135374821094	0.430359129918642	Hypermethylated
cg10175795	2.81325736173718	-1.1969843520381893	5.666061091787693	5.434401880045883e-5	0.022141437946224432	2.118377392260549	chr10	133109194	-	TCERG1L	Island	0.44802579465845055	0.11112576953617537	0.3369000251222752	Hypermethylated
cg11946165	2.0862551786421286	3.075790190012204	5.6474047834850305	5.6188792602266505e-5	0.022141437946224432	2.0880846119156766	chr1	150781434	-	CTSK	OpenSea	0.927206539414291	0.746569300634315	0.18063723877997595	NS
cg11812218	3.586798859694846	-1.1977509263821093	5.647063993976706	5.622309151338435e-5	0.022141437946224432	2.0875307392296696	chr3	172166920	+	GHSR;GHSR	N_Shore	0.4890920154693856	0.08777053018240978	0.4013214852869758	Hypermethylated
cg02206259	-1.8836049807630526	-3.8323272791107525	-5.625969102102976	5.838927004492575e-5	0.02247190679410847	2.0532095004517172	chr1	231003485	-	C1orf198;C1orf198	N_Shore	0.046258584656508346	0.1520394714726773	-0.10578088681616896	NS
cg21504624	1.978052696452555	-0.7788864730658269	5.611205028043933	5.995698023211846e-5	0.022562477850015424	2.0291457908952912	chr9	34653580	+	IL11RA;IL11RA;IL11RA	OpenSea	0.4717138802211344	0.1860430507909295	0.28567082943020494	Hypermethylated
cg25044651	2.656195570376907	0.6616954097549222	5.563838273469894	6.528948252396919e-5	0.02403504558828031	1.9517070413301534	chr5	115298720	+	LVRN	Island	0.721536359237747	0.3095689451869005	0.41196741405084647	Hypermethylated
cg13912117	6.669005172680321	-1.7413462669787405	5.543302640922529	6.775278048019937e-5	0.02441118265216375	1.9180221170345773	chr8	132054555	-		Island	0.5942398526513112	0.012260163531899834	0.5819796891194113	Hypermethylated
cg04062391	3.795013765467602	-1.3275400891627596	5.511096460794633	7.18127718587114e-5	0.025334947471987893	1.865058235986317	chr19	9609204	+	ZNF560	Island	0.47809433720481087	0.0675943708434558	0.41049996636135505	Hypermethylated
cg15928398	2.3999125415271534	1.0741785739558303	5.488532853241938	7.480754052724982e-5	0.025852875332417313	1.8278534771741235	chr3	186647950	-	ST6GAL1;ST6GAL1	N_Shore	0.7750493589702933	0.4100685052271235	0.36498085374316974	Hypermethylated
cg20312687	-2.7709701688996295	-0.9490177006878578	-5.421355039245024	8.451810147932362e-5	0.027586701968258732	1.7166079172553284	chr20	29956585	+	DEFB118	OpenSea	0.23915243158696767	0.6586186386992166	-0.4194662071122489	Hypomethylated
cg24335895	3.0442641607685097	0.5905724405922111	5.420647786457206	8.46270437244146e-5	0.027586701968258732	1.7154329315979346	chr19	36643771	+	COX7A1	S_Shore	0.7228577032307222	0.267535837185904	0.45532186604481817	Hypermethylated
cg23290344	4.9440108564192595	-0.4010631558881046	5.420098632010684	8.47117339287501e-5	0.027586701968258732	1.7145205464524453	chr8	24771466	+	NEFM;NEFM	Island	0.6611742026090922	0.07559340550644204	0.5855807971026502	Hypermethylated
cg26390526	-3.812212476617437	0.829778178596487	-5.389177427995914	8.962552686990072e-5	0.028636201358771676	1.6630706025210094	NA	NA	NA	NA	NA	0.44382853265893224	0.9156391132192074	-0.4718105805602752	Hypomethylated
cg24645221	3.6969594279068008	-1.5029340122480077	5.359704135922791	9.458557938518936e-5	0.029661337061274013	1.613890650749343	chr8	57358928	+	PENK;PENK	Island	0.44344176491938847	0.07569171579626992	0.36775004912311854	Hypermethylated
cg22459146	2.2629587574461794	-0.4593180120918351	5.332739115690748	9.937368228864152e-5	0.030596253379561008	1.568777613255521	chr3	172167030	+	GHSR;GHSR	N_Shore	0.5359556563696383	0.1989910023117695	0.3369646540578688	Hypermethylated
cg19985911	-1.8913633870065871	0.6330201508262341	-5.309406545593825	1.0372004066038874e-4	0.03100881608055385	1.529650796192394	chr12	58209674	+	AVIL	OpenSea	0.5087100536397154	0.7931070298393965	-0.2843969761996811	Hypomethylated
cg12374721	4.60032342425951	0.7229598547518247	5.30597384700209	1.0437596058766798e-4	0.03100881608055385	1.5238873427370256	chr17	46799640	+	C17orf93;PRAC	N_Shore	0.7751449435560479	0.19154713989312483	0.583597803662923	Hypermethylated
cg26701826	2.1852184169811677	1.1040701946277107	5.269018907706799	1.1171652150094207e-4	0.032617371984430224	1.4617256448540186	chr4	108814604	+	SGMS2;SGMS2;SGMS2;SGMS2	OpenSea	0.763501972480157	0.43008092862145375	0.3334210438587033	Hypermethylated
cg18680834	-2.7665549345779286	-2.286818429381612	-5.250841653156084	1.1552202409090013e-4	0.03315677891449666	1.4310729376911198	chr19	30863349	+	ZNF536;ZNF536	N_Shelf	0.11294192115218592	0.4416896549346577	-0.3287477337824718	Hypomethylated
cg07660236	3.8867015661247564	-0.5005975822971999	5.236776015337673	1.1855901202420254e-4	0.03346130516029743	1.407319116418269	chr6	28367883	-	ZSCAN12;ZSCAN12	S_Shore	0.5929561806889138	0.11466441294600088	0.4782917677429129	Hypermethylated
cg26687173	1.7887873230042688	2.1172227214415797	5.198310217639341	1.2729517842120154e-4	0.035337976252207	1.3422051514175521	chr19	33623091	+	WDR88	Island	0.8602552363740397	0.6445325517995615	0.21572268457447819	Hypermethylated
cg06341721	-1.6836967979697584	-3.0381323474944564	-5.1327268768505885	1.4376402865480395e-4	0.03926613002000726	1.2306729972404034	chr19	1406759	+	DAZAP1;DAZAP1	N_Shore	0.08115206555645928	0.216119418084864	-0.13496735252840475	NS
cg01493517	1.7912780213405923	1.249222609803359	5.101557668876589	1.5235154794641505e-4	0.04060441090956069	1.1774411062089145	chr12	6665447	+	IFFO1;IFFO1	S_Shore	0.7730553735226404	0.50150554736627	0.27154982615637047	Hypermethylated
cg08614481	2.4612234352042686	-1.0713419565599727	5.097669709168772	1.534594483413183e-4	0.04060441090956069	1.1707910198566784	chr6	78173250	-	HTR1B	Island	0.45422284546399566	0.12820081953954224	0.3260220259244534	Hypermethylated
cg18888403	-1.926412076704522	-0.0147638295200702	-5.070949256245348	1.6130315065927183e-4	0.04202319312714014	1.1250272983721468	chr1	24152774	+	HMGCL;HMGCL	OpenSea	0.400016642924846	0.710044507085827	-0.310027864160981	Hypomethylated
cg13631913	-3.5137278232870615	-3.2111274176030915	-5.048375097589775	1.6825327242988208e-4	0.04316971083829732	1.0862832900398764	chr1	9600345	-	SLC25A33	Island	0.0704831326712486	0.371418008831365	-0.3009348761601164	Hypomethylated
cg18273501	-1.9629202220035393	-4.721693402792575	-5.022628075362608	1.7656048177884455e-4	0.04462500296183513	1.0420030845720172	chr10	105212056	+	CALHM2;CALHM2;CALHM2	Island	0.02636795815927581	0.09045690049339734	-0.06408894233412153	NS
cg10837843	-1.5518380615921172	-4.343305823691569	-5.0044906147742765	1.826667273117696e-4	0.045069147755730135	1.010752321015901	chr5	172199244	-	DUSP1	Island	0.034714024721530026	0.09760961870607793	-0.0628955939845479	NS
cg13234863	3.1437222935493017	-1.1052377512069778	5.00165586408698	1.8364067527727526e-4	0.045069147755730135	1.0058637730168822	chr12	130389138	+	TMEM132D	Island	0.4877833549455401	0.09780231668736208	0.389981038258178	Hypermethylated
cg15949277	-1.4573947393058906	-4.762877509496528	-4.9930584360011885	1.866275571982768e-4	0.045147872194223136	0.9910303816717381	chr1	37939724	-	ZC3H12A	Island	0.026932291219321943	0.06944203837010975	-0.0425097471507878	NS
cg10226546	-2.24656167771185	-3.1288307299967575	-4.98264044098021	1.903144735157545e-4	0.04519967237708954	0.9730417045216209	chr20	50158996	-	NFATC2;NFATC2;NFATC2	Island	0.07387052202348976	0.25689515269032803	-0.18302463066683827	NS
cg02497700	-2.17638902737493	-2.0906668538006397	-4.9640298411630015	1.9708961604455517e-4	0.04519967237708954	0.9408683094512877	chr1	244213358	-	ZNF238	N_Shore	0.1383911310727697	0.40222438969851676	-0.263833258625747	Hypomethylated
cg02334775	-1.8662907997505676	-1.944665059629192	-4.963829747288234	1.9716380146510875e-4	0.04519967237708954	0.940522125527683	chr15	89182676	-	ISG20	OpenSea	0.1530380769815252	0.3931740186375853	-0.2401359416560601	Hypomethylated
cg18270343	2.1155710337179734	2.363276164970962	4.957445906973554	1.9954586625793995e-4	0.04519967237708954	0.9294744079798569	chr8	143748005	+	JRK;JRK	N_Shelf	0.8803684508984764	0.649751254199043	0.23061719669943337	Hypermethylated
cg27433088	-1.5687547963497435	-2.8038934159403777	-4.955739789065692	2.0018751790963244e-4	0.04519967237708954	0.9265208620161935	chr4	174089019	+	GALNT7	N_Shore	0.09528342187283488	0.23535051821947525	-0.14006709634664039	NS
cg06675478	2.586436621791549	-0.2917567246764601	4.910697721772541	2.179227520534463e-4	0.048556630043066575	0.8483975870271232	chr13	112721786	-	SOX1	Island	0.5843386473650375	0.2066438241552085	0.377694823209829	Hypermethylated
cg22980079	2.961492925169728	1.9674307215421574	4.888825355433609	2.2711385202704408e-4	0.049717910436623144	0.8103584287717176	chr4	2627118	+	FAM193A	OpenSea	0.8629110926678771	0.483567868741885	0.3793432239259921	Hypermethylated
cg13262687	2.840668097267939	-0.7577971800425088	4.884435015915833	2.2900655569012667e-4	0.049717910436623144	0.802714983566835	chr4	147559579	-	POU4F2	Island	0.5226659158579745	0.1331857205627229	0.3894801952952516	Hypermethylated
cg05859264	-2.254733985322598	-1.5269415811082192	-4.862426818029995	2.3874327532109811e-4	0.05117567878844906	0.7643592034653306	chr6	36097692	+	MAPK13	N_Shore	0.18936819137199734	0.5055350410764065	-0.3161668497044091	NS
cg15642035	-3.391553234785827	-0.05437313749105721	-4.851466248338141	2.4375107400482476e-4	0.05147889842724032	0.7452322882329288	chr8	139165052	+	FAM135B	OpenSea	0.3378395224608872	0.8269159860782103	-0.48907646361732304	NS
cg06990298	-1.8057207093227754	-4.46438352079948	-4.846109757185912	2.462377921699815e-4	0.05147889842724032	0.7358788663771172	chr17	17399700	-	RASD1;RASD1	Island	0.03171927192899753	0.10086992623565989	-0.06915065430666237	NS
cg14679230	2.4575663278214765	2.3345924884484743	4.83848462866453	2.498230303640555e-4	0.05159150239249897	0.7225572180441491	chr19	42931679	-	LIPE	S_Shelf	0.8866878460956585	0.5954724730212122	0.29121537307444634	NS
cg13870866	2.7208079647724666	0.16355177181434483	4.819588583085976	2.589421140797469e-4	0.05231365748645157	0.6895103398838236	chr7	35293130	-	TBX20;TBX20	Island	0.6536045003464979	0.24272345899266423	0.41088104135383363	NS
cg01242619	-1.619636742384999	-3.487785024617571	-4.818458070516872	2.594984781423132e-4	0.05231365748645157	0.6875316748808897	chr8	145049472	+	PLEC1	Island	0.061650096849562686	0.16459443219452824	-0.10294433534496555	NS
cg07651914	1.8941203395591206	1.4181404840769052	4.79799606862735	2.697848460692115e-4	0.0531731953922516	0.6516884896363262	chr7	100881986	+	CLDN15	OpenSea	0.7927081008024199	0.5175855724733636	0.27512252832905637	NS
cg25066857	-1.5969513812135079	1.5845582877044606	-4.792183008004806	2.727832733523148e-4	0.0531731953922516	0.6414955044432507	chr2	85921438	-	GNLY;GNLY;GNLY;GNLY	OpenSea	0.6768517824457215	0.8652473736209315	-0.18839559117521	NS
cg02008154	3.725167192015655	-0.8772721228854465	4.785468810885148	2.7628939544753934e-4	0.0531731953922516	0.6297167752701096	chr7	35293537	+	TBX20;TBX20;TBX20;TBX20	Island	0.5485910589759513	0.12343345958007593	0.4251575993958754	NS
cg09626984	2.382475044375338	0.13289678407530955	4.78540628774076	2.763222625793162e-4	0.0531731953922516	0.6296070624578487	chr8	11566096	-	GATA4	Island	0.6356224366371052	0.27210043522821625	0.3635220014088889	NS
cg05440289	-3.037916365145968	1.090774185758343	-4.77622177709336	2.811945068447251e-4	0.05350278403268062	0.613484826609545	chr1	152881119	-	IVL	OpenSea	0.5185258084252565	0.8954837542640985	-0.376957945838842	NS
cg19718882	3.274336702224952	-1.0838043430833029	4.74131918606917	3.005336621446341e-4	0.055650766734441554	0.5521157013137623	chr11	32458714	-	WIT1	N_Shore	0.489386445658754	0.09530102076599734	0.39408542489275666	NS
cg09871043	-1.981404057337368	-1.3214420942677063	-4.737237691616738	3.0288316403032626e-4	0.055650766734441554	0.5449287355713448	chr6	51952361	-	PKHD1;PKHD1;PKHD1;PKHD1	OpenSea	0.21808761992934722	0.5085385284934775	-0.29045090856413025	NS
cg20792062	2.760191799136967	-0.7687903175256722	4.736064401189884	3.035620678365326e-4	0.055650766734441554	0.5428623240658537	chr12	5153288	+	KCNA5;KCNA5	Island	0.5187387554648838	0.1460614473800666	0.3726773080848172	NS
cg00888007	4.473799900430858	-2.3541923594464875	4.732508923516044	3.0562898938839403e-4	0.055650766734441554	0.5365992788256237	chr12	4382184	+	CCND2	Island	0.3860580718847731	0.02739259235568195	0.3586654795290911	NS
cg12535715	-3.649921787891971	-0.7232734783438332	-4.726889607209882	3.089253568042712e-4	0.05565257438429286	0.5266973712478409	chr8	38831693	-	HTRA4;HTRA4	Island	0.22254537252243944	0.6901001935213298	-0.46755482099889034	NS
cg06378107	1.690146345744737	3.0712001900645762	4.715253273734687	3.1586855492200447e-4	0.056060170192605265	0.50617967733504	chr11	100863057	-	TMEM133	OpenSea	0.9194038134650517	0.7864842317263088	0.13291958173874296	NS
cg25577842	3.319973266493528	-2.3041178975832968	4.707007391914292	3.2088605109283915e-4	0.056060170192605265	0.4916295348345585	chr11	32459760	+	WIT1	Island	0.32341212052530205	0.04292047712607967	0.2804916433992224	NS
cg07054641	1.8869402778075728	0.7814142371575975	4.706627087432223	3.211194347869795e-4	0.056060170192605265	0.490958262172545	chr3	113160554	-	WDR52;WDR52	Island	0.7131733818087637	0.412743994498369	0.30042938731039465	NS
cg04720330	-1.9357884108634607	-3.8120833781058683	-4.69907975855346	3.2578744662026715e-4	0.0562062063811959	0.477632664406503	NA	NA	NA	NA	NA	0.048655649032591536	0.15745424149308554	-0.108798592460494	NS
cg25427580	2.1689576433581266	3.601591882277048	4.694595238970406	3.285942147005075e-4	0.0562062063811959	0.46971129959598734	chr2	168675357	-	B3GALT1	OpenSea	0.9466979893390869	0.7962128512142982	0.1504851381247887	NS
cg13641903	2.604867654092537	1.0685491569767893	4.687603427912947	3.330201012840503e-4	0.05639362395144108	0.4573559501599824	chr11	32452608	+	WT1;WT1;WT1;WT1	Island	0.7630521857496003	0.37679244163568504	0.3862597441139153	NS
cg20516209	1.6705905344968859	0.9479512732553075	4.680296723787493	3.3771105926390247e-4	0.05662177304529628	0.4444374543659402	chr2	27301943	+	EMILIN1	N_Shelf	0.7272924089333961	0.46397348202301475	0.26331892691038133	NS
cg24854010	1.8534193393539398	2.375571350470976	4.670552817281855	3.4407296921495537e-4	0.05712285941849073	0.42719929931866396	chr12	1726033	+	WNT5B	OpenSea	0.8781323066183067	0.6780132871912552	0.20011901942705146	NS
cg11226328	-2.1409649228947245	-3.87174424934921	-4.653527327775271	3.554873567839802e-4	0.05844488252213516	0.3970502041169457	chr1	29213367	-	EPB41;EPB41;EPB41;EPB41;EPB41	N_Shore	0.047666363876405715	0.1613351197983015	-0.11366875592189579	NS
cg15540820	2.6396692495009297	0.10756711352170094	4.634286699236509	3.68857860553276e-4	0.05922943110609552	0.36293452119398406	chr3	27765283	+	EOMES	Island	0.6382450269489944	0.2373378403462105	0.4009071866027839	NS
cg18192417	-2.3899458262427213	-3.0682334216504534	-4.633265712932162	3.695816725762058e-4	0.05922943110609552	0.3611229080816196	chr10	21463756	+	NEBL	Island	0.07838408056409833	0.2747757016341415	-0.19639162107004315	NS
cg18704047	-1.6388316969910872	-1.7586003235182257	-4.6316187956908434	3.707523147068693e-4	0.05922943110609552	0.3582003842345962	NA	NA	NA	NA	NA	0.1785131702848312	0.39408979346615397	-0.21557662318132276	NS
cg05606799	-2.663593840826798	-0.720960881553987	-4.615270588851022	3.82582070067461e-4	0.0605480820048821	0.32917150417177954	chr1	204165307	+	KISS1	OpenSea	0.2726932239068088	0.679144561941952	-0.4064513380351433	NS
cg23326689	2.337942361586822	0.07930360844222789	4.588227248044486	4.030117328215629e-4	0.06319074707037359	0.2810792551343244	chr8	80523461	-	STMN2	N_Shore	0.6284575441608751	0.26222865979898674	0.36622888436188833	NS
cg11120551	-1.6689389253815623	-2.613330994330273	-4.5738311796239906	4.14342119878599e-4	0.06381672443844863	0.25544170328213855	chr1	146713996	+	CHD1L	N_Shore	0.10764906337032616	0.26924702037630427	-0.16159795700597812	NS
cg04413148	1.9289175472434805	3.1522783628580804	4.573581946185103	4.145411413859307e-4	0.06381672443844863	0.2549976291337108	chr16	67965867	+	CTRL	N_Shelf	0.9245977337389621	0.7740638865889693	0.15053384714999285	NS
cg24673765	2.241955291240647	-0.0989871239142987	4.565601078361703	4.2096645150099755e-4	0.06415458157623223	0.24077367213299894	chr19	36247869	+	HSPB6;C19orf55	Island	0.593646339611606	0.25126505098873547	0.3423812886228705	NS
cg25022327	1.7069526434775795	3.24963989593473	4.559026599375821	4.2633647215521226e-4	0.06415458157623223	0.22905049818651513	chr11	128812462	-	TP53AIP1	OpenSea	0.9272880853362853	0.807343262156156	0.11994482318012922	NS
cg08583049	4.121181103193088	-2.477220431940051	4.556884508175079	4.2810131794698494e-4	0.06415458157623223	0.2252297425331795	chr15	60296815	+	FOXB1;FOXB1	Island	0.33028269806283966	0.06045126857570701	0.2698314294871327	NS
cg11647681	3.0463770570555435	0.423293642574354	4.542572232450173	4.400876426173996e-4	0.06537231701827231	0.1996874765730423	chr5	140810161	+	PCDHGA4;PCDHGA11;PCDHGA11;PCDHGA12;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGA12;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA12;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5;PCDHGA12	N_Shore	0.6862930754224394	0.24022174352746825	0.44607133189497117	NS
