R version 4.5.2 (2025-10-31)
Platform: x86_64-pc-linux-gnu
 [82] tidyselect_1.2.1         
 [83] scrime_1.3.7             
 [84] statmod_1.5.1            
 [85] stringi_1.8.7            
 [86] yaml_2.3.12              
 [87] codetools_0.2-20         
 [88] cigarillo_1.0.0          
 [89] cli_3.6.5                
 [90] systemfonts_1.3.2        
 [91] xtable_1.8-8             
 [92] dichromat_2.0-0.1        
 [93] Rcpp_1.1.1               
 [94] png_0.1-9                
 [95] XML_3.99-0.22            
 [96] blob_1.3.0               
 [97] mclust_6.1.2             
 [98] doRNG_1.8.6.3            
 [99] sparseMatrixStats_1.22.0 
[100] bitops_1.0-9             
[101] scales_1.4.0             
[102] illuminaio_0.52.0        
[103] crayon_1.5.3             
[104] rlang_1.1.7              
[105] KEGGREST_1.50.0          
