R version 4.5.2 (2025-10-31)
Platform: x86_64-pc-linux-gnu
 [83] ProtGenerics_1.42.0     
 [84] xfun_0.56               
 [85] stringi_1.8.7           
 [86] UCSC.utils_1.6.1        
 [87] lazyeval_0.2.2          
 [88] yaml_2.3.12             
 [89] evaluate_1.0.5          
 [90] codetools_0.2-20        
 [91] cigarillo_1.0.0         
 [92] interp_1.1-6            
 [93] bbmle_1.0.25.1          
 [94] BiocManager_1.30.27     
 [95] cli_3.6.5               
 [96] rpart_4.1.24            
 [97] systemfonts_1.3.2       
 [98] Rcpp_1.1.1              
 [99] dichromat_2.0-0.1       
[100] GenomeInfoDb_1.46.2     
[101] dbplyr_2.5.2            
[102] coda_0.19-4.1           
[103] png_0.1-9               
[104] bdsmatrix_1.3-7         
[105] XML_3.99-0.22           
[106] parallel_4.5.2          
[107] blob_1.3.0              
[108] prettyunits_1.2.0       
[109] latticeExtra_0.6-31     
[110] jpeg_0.1-11             
[111] AnnotationFilter_1.34.0 
[112] bitops_1.0-9            
[113] mvtnorm_1.3-6           
[114] VariantAnnotation_1.56.0
[115] scales_1.4.0            
[116] crayon_1.5.3            
[117] rlang_1.1.7             
[118] KEGGREST_1.50.0         
